,0,1
17,"This lens is classic.  Really durable construction and the autofocus is much improved over the original.  Its a bit heavier than the original, but if you don't have one of these I'd suggest getting one.  On a crop-sensor (APSC) this is going to give you the equivalent of an 80mm focal length view. This is tighter than you might expect, but very useful for portraits and medium distance shots.Read full review...",positive
18,This lens takes really sharp photos and is just a really great overall lens for everyday photos.  The focus is fast and quiet and for the price you really can't beat it!  This a definite must for any photographer's bag.Read full review...,positive
19,"Super lightweight, and wonderful photos can be produced with this little lens! Extremely easy to get used to and wonderful depth of field. Perfect for any camera person who doesn't want to break the bank!Read full review...",positive
20,"I really am not an expert photographer that is for sure, but I have to say this nifty little lens really helps a novice like me get much better quality images. I like it for blurring the background, and works very well.I feel it is a good value for what I use it for, and I couldn't be happier I invested in this 50mm lense. If anyone takes pictures of finished I hope you can appreciate how difficult it can be to capture the depth and quality. I finished this shelf with the 5 color wood dye kit, sealed with light coat if poly, and snapped this pic.The lense really helped :)Thank you for a great deal!Read full review...",positive
21,"The lens seems sturdy, though I have not had it a long time. The STM stepper motor makes focus fast and silent. It is also small and lightweight. The only real downside I have found with this lens is image sharpness wide open. If at all possible, try to never use the lens at any opening larger than f2.8. At f1.8 image sharpness suffers greatly. It is not uncommon for lenses to need to be stopped down a stop or two from wide open for best sharpness, and that holds true with this lens. There are Canon L lenses which are sharp wide open, but they cost hundreds, to thousands, of dollars. This lens is not in that same league. It does give very good performance though, just remember to not use it wide open. By the way, my results are based on the lens use with a Canon 5D MkII body, (full frame). Results may vary on a crop sensor body.Read full review...",positive
22,"For a hundred bucks this lens is a steal.   Image is very sharp, focus is good and the aperture is wide enough it works well in low light.",positive
23,"Brought this lens for my Canon 80D and it does not disappoint ! Canon has given their standard 50mm an ultimate update with their new STM lens motor ... and this lens works both for APS-C sensors and full frame making it a versatile value ! Lightweight and plastic, we know, but we all appreciate less weight after a day of shooting ! great go to lens when one wants to just set the camera on A or P to hand the camera off to a non pro who wants to see what digital is all about.  Canon is still the best value for me after 40 years of SLR film and now DSLR era cameras !Read full review...",positive
24,"Exactly what I was looking for. Gives me the depth of field I needed to get the effects I wanted (bokeh, blurred backgrounds) that I can't get with my other lenses. Focusing ring works smoothly, images are sharpRead full review...",positive
25,"I haven't used it much, but honestly, I can say that this lens is very good for the price. It does amazing portraits and the images are quite sharp and clear. It is a must have. I give it 4 stars only because the pictures have more noises in them than my other lens, but other than that, it's great!Read full review...",positive
26,"The Canon EF 50mm f/1.8 STM Lens is a fantastic value for the money! Good build quality, sharp image quality, great narrow depth of field for portraits etc., also a good macro lens used with macro tubes. A real winner!Read full review...",positive
27,"I had my doubts about the quality of this lens, but it has taken great photos in low light conditions and in taking close up pictures. I'm glad I read all the reviews, a great lens for the money.",positive
28,"I bought this lens because every review said that it was better than EF 50mm f/1.8 II. However, my comparison of the two lenses have indicated that STM version is not so much better than the previous lens. It tends to bring out blue in dark light, while under the same condition EF II version brings out more yellow. When wide open, both lenses show soft corners. My extreme crops from both Canon 5D gen 1 and 6D turn out to be painted pictures instead of photographs whereas pictures taken with Fuji X-T10 with 35mm f/1.8 shows more details, tonal quality and truly photographic looks with more dynamic range well and beautifully controlled.  Compared to Fuji X-T10, both gen 1 5D and 6D images are like toy cameras, and I am planning to sell both of them in the near future.  Once stopped down to f/5.6 and higher, Canon images become sharp corner to corner, but when wide open Fuji 35mm f/1.8 out perform Canon's poorly designed cheap lenses.Read full review...",positive
29,Super sharp. Smooth Bokeh. Great value. I have to get used to the thin focal plane compared to f/2.8,positive
30,"Comparing it to the standard 18 - 55 that came with my SL2 it is sharper and more consistent in actual color of subject. Although the fixed lens took some shots to find a sweet spot on distance it is versatile in both close up and wide angles. My portrait photos look amazing when using the larger f stop 1.8 and my macro shots too! My old lens is now in a bag stored away. Would prefer to carry 2 primes 24mm & this 50mm along with my zoom 70 - 300. I really like this lens...great price, great pics.Read full review...",positive
31,"I am new to photography. When buying a camera the kit lens your receive as part of your package often try to accomplish many different things. In the end, never seem to do a great job of any specific thing.The Canon EF 50mm f/1.8 Lens is the perfect lens to snap a  portrait. While it is motorized and does a nice job of zeroing-in on your subject. I prefer to go manul and snap the picture I want to see. I now find myself reaching for the 50mm lense to snap a quick photo when walking down a crowed street or a quick pic of my gal.The lens is light and you hardly feel it's weight. It attaches easily to the camera body. Just line up the red dot on the lens with the red dot on the camera body. And you are ready to go!Enjoy!!Read full review...",positive
32,"If photography is a hobby or if you have a decent camera and want to take your own photos to hang up around the house, this is a great lens. I have the Canon Rebel T6i and it works great when taking that close up photo of a flower or a person while blurring out the background. If you don't want to spend an excessive amount of money for a lens, I would definitely recommend this one.Read full review...",positive
33,Perfect for portraits. I love using manual focus and you can greatly control how much of the background and how sharp you want the subject to be.,positive
34,This is a great lens for taking photos with blurry background and sharp focus,positive
35,"I am in love with this lens, so far it is all I want to use now. I have taken some great pictures, very pleased with the turn out. This was a excellent buy, I highly recommend this lens to anyone.",positive
36,"Whether your using this in Full Frame as a 50 mm or on an APS-C camera @ 88 mm , the f 1.8 Aperature makes this a great normal or portrait lens . Crisp with the ability to shoot in low light . I recommend it highly at this price point . Can't beat it .Read full review...",positive
37,love this lens great for low light plus the price.If you have a Canon DSLR and are on a budget the is a great add on.makes a little sound not a total silent like other STM lens.Sharp pictures for a $100.00 lens.Read full review...,positive
38,I absolutely love this lens!! The focus is soft to adjust and I love how the back ground is blurry from my model.,positive
39,I had the older version with the plastic mount. The improvements to a metal mount and placement of the focus ring are well worth the upgrade. A definite 5 stars for me!,positive
40,This is a must have for a beginner on a budget. Lower aperture allows you to learn how to great portraits.,positive
41,If you are wanting an inexpensive lens to do some creative photography this is a great choice. I am just getting into photography and have found this lens to be very useful. I am very happy I did my research first and chose to purchase this lens.Read full review...,positive
42,Received my 50 mm lens a day earlier that expected and exactly as described new in box. I love this lens and can't wait to take even better photos!,positive
43,Simply put: Buy this lens if you want to capture the best image quality photos from your Canon Rebel. The pictures are super sharp. It's simply a great lens and makes taking the camera to birthdays and gatherings apleasure. Everyone is impressed by the images coming from our Canon T6.Read full review...,positive
44,"For a 50mm lens, I don't think there's a need to buy anything more expensive than this. The truth is the optics in 50mm lenses are a lot simpler than in wide-angle lenses, and even cheap one like this one can provide ultimate quality. If you've got some decent cash to put into expensive lenses, get wide-angle ones. Good wide-angle lenses don't come cheap. For for a 50, all you need is the good'ol Nifty Fifty!Read full review...",positive
45,"If your starting out in photography, money is an issue and your on the fence between this and the 50mm 1.4, which is at least 200 bucks higher, I'd get this one. I've owned them both and the new STM 50 1.8 is really good, very close in sharpness and Bokeh. Plus, it's not much more than 100 bucks, something you can pass on to a friend or your kid when they become a new photographer. It's a win win. Read full review...",positive
46,"I use this lens every time I get to take pictures. It’s very sharp, even when it’s dark. Overall fantastic lens I would recommend to any photographer that’s starting off or even has experience with photography.Read full review...",positive
47,"This is a great portrait lens to start from. 1.8 gives you nice portrait quality with blurred background. Sharp enough, cheap lens to start your portrait photography.Feels more like plastic in hand, however it gives very light weight.Read full review...",positive
48,Absolutely great for portraits. Quiet focusing and crisp images. I love it.,positive
49,"Exactly as expected, quick turnaround. I ordered it a few days before a vacation. The lens came as a recommendation from a more veteran photographer. Versatile and useful for most pictures I'll be taking that are used for regular distances and making that cool blurred focus effect.Read full review...",positive
50,I absolutely love this lens and wish that it was included when I bought my camera package.  The pictures are crisp and clear. This is a nice all around lens for when you just want to take some great pictures.Read full review...,positive
51,"Light weight, fast focus and super sharp. Hard to beat combination.",positive
52,"The Canon 50mm f/1.8 STM is a great, budget friendly portrait lens. I use the lens for portrait photography and have no complaints. The lens takes excellent quality photos on my Canon 80D.",positive
53,This has to b the most necessary lens in your arsenal. It takes great portraits and sharp images. It's awesome in lowlight as well. Plus for the $100 range price tag it's a must buy.,positive
54,This is a great little lens. It is is lignt weight takes up little space and takes sharp images.At this price point you would be hard presses to find a better value.,positive
55,"This lens is great very sharp, focuses extremely quick and quietly which is great for video. I have to say it provides even better Bokeh as compare to the 50mm EF non STM counterpart. So I would say it has even better portrait capabilities and for around the same price I highly recommend this purchase.Read full review...",positive
56,This lens is perfect for portraits and lower light settings. I needed another lens besides the 18-55 kit lens and a friend recommended this. I would recommend this to anyone who wants to add capability to their camera without breaking the bank.Read full review...,positive
57,I've shown a few people the pictures I've taken and their first thing they notice is how cool the blurry background is.This lens takes great portraits so if you enjoy taking those pictures I'd recommend this lens!Read full review...,positive
58,"Best prime lens you can get for a great value!! This is the newest version of the ""nifty-fifty"" but with metal mount and STM.",positive
59,Lens is very sharp but also give good bokeh at lower f stops. Lens has vey good color rendition! ,positive
60,"Great lens, captures superb photos even in low light conditions. Lens is super light but build quality is average. I would recommend this lens to anyone looking for great potraits in all light conditions with much more  controlled background.Read full review...",positive
61,this lens is in my bag often and use it more than I ever thought. the f/1.8 is a big deal ; I wish I had the money to buy other lenses with similar features .,positive
62,It's exceptional! Packaging was nice and the boxes looked pristine. It's pretty much new! I'm very happy with this and I look forward to taking many photos with it!,positive
63,This is a very good lens and the price makes this a great deal. The photos are clear and sharper than my other lenses. I don't use the cap keeper it just gets in the way. But all in all great value and great lens.Read full review...,positive
64,"If detail is what you need, this is the lens for you.  Well worth the small investment because you'll find yourself using it a lot more than you expected.  Excellent results!",positive
65,"This redesigned model is a welcome change to the previous design. Quiet, modern, and sharp. The same optical quality as the old one but much better for video (quiet).",positive
66,"Good upgrade from the plastic version. Feels more pro, image is sharper and you can get a little more closer to the subject. Autofocus is faster, smooth and almost silent.",positive
67,"All the products in this package is great, except the ""Opteka .43x Wide Angle Lens"" which is blurry and I cannot use it with the lens.The prime lens is great and exactly what I need, thank you so much!Read full review...",positive
